fitness,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,fliplr,flipud,mosaic,mixup
0.10831,0.01692,0.5,0.5,6.47822,0.10147,0.47799,0.0,0.0,0.5,0.0,1.0,0.0
0.14352,0.015,0.7,0.5,5.0,0.11014,0.54893,0.0,0.0,0.5,0.0,1.0,0.0
0.13028,0.015,0.59036,0.49685,5.0,0.10105,0.44371,0.0,0.0,0.5,0.0,1.0,0.0
0.14122,0.01791,0.69386,0.49685,6.06867,0.1,0.49008,0.0,0.0,0.5,0.0,1.0,0.0
0.12598,0.015,0.62827,0.42149,5.1063,0.11755,0.54264,0.0,0.0,0.5,0.0,1.0,0.0
0.16866,0.01684,0.7,0.49685,5.0,0.11234,0.50844,0.0,0.0,0.5,0.0,0.81911,0.0
0.14232,0.01719,0.7,0.5,5.0,0.1,0.43503,0.0,0.0,0.5,0.0,0.89298,0.0
0.14119,0.01688,0.7,0.46,5.0,0.1,0.5507,0.0,0.0,0.5,0.0,1.0,0.0
0.19126,0.01522,0.7,0.5,5.0,0.12681,0.55226,0.0,0.0,0.5,0.0,0.9042,0.0
0.15976,0.0162,0.6745,0.5,5.0,0.10902,0.53903,0.0,0.0,0.5,0.0,1.0,0.0
0.15687,0.01868,0.64098,0.47024,5.18654,0.1,0.6,0.0,0.0,0.5,0.0,0.92442,0.0
0.15704,0.01519,0.6993,0.49743,5.0,0.12618,0.54939,0.0,0.0,0.5,0.0,0.9042,0.0
0.13284,0.01657,0.7,0.5,5.5164,0.11713,0.45848,0.0,0.0,0.5,0.0,1.0,0.0
0.16298,0.015,0.68841,0.4752,5.08162,0.11916,0.50168,0.0,0.0,0.5,0.0,0.89607,0.0
0.15614,0.01863,0.7,0.5,5.0,0.10721,0.35784,0.0,0.0,0.5,0.0,1.0,0.0
0.13196,0.01602,0.68045,0.5,5.16576,0.11613,0.52079,0.0,0.0,0.5,0.0,1.0,0.0
0.1003,0.016,0.64941,0.5,5.72145,0.11817,0.55226,0.0,0.0,0.5,0.0,1.0,0.0
0.18736,0.015,0.57252,0.43864,5.0,0.10543,0.57773,0.0,0.0,0.5,0.0,0.93294,0.0
0.16042,0.01521,0.7,0.49944,5.0214,0.10905,0.55176,0.0,0.0,0.5,0.0,1.0,0.0
0.12216,0.01951,0.7,0.5,5.0,0.1,0.6,0.0,0.0,0.5,0.0,1.0,0.0
0.16719,0.01527,0.7,0.49685,5.0,0.10721,0.55889,0.0,0.0,0.5,0.0,0.86984,0.0
0.14991,0.015,0.67371,0.5,5.18606,0.10203,0.55226,0.0,0.0,0.5,0.0,1.0,0.0
0.11907,0.015,0.68796,0.5,5.33685,0.10598,0.50486,0.0,0.0,0.5,0.0,1.0,0.0
0.15329,0.01522,0.7,0.5,5.0,0.12595,0.56726,0.0,0.0,0.5,0.0,0.88454,0.0
0.17183,0.01613,0.53785,0.5,5.0,0.11572,0.6,0.0,0.0,0.5,0.0,1.0,0.0
0.13104,0.015,0.66449,0.41267,5.0,0.1,0.56464,0.0,0.0,0.5,0.0,0.85953,0.0
0.16893,0.01522,0.7,0.5,5.0,0.10668,0.55401,0.0,0.0,0.5,0.0,0.95266,0.0
0.16751,0.0159,0.7,0.5,5.0,0.10902,0.54365,0.0,0.0,0.5,0.0,1.0,0.0
0.13984,0.01522,0.67252,0.5,5.13711,0.12501,0.49913,0.0,0.0,0.5,0.0,1.0,0.0
0.19207,0.01541,0.7,0.5,5.01738,0.1,0.46883,0.0,0.0,0.5,0.0,0.97088,0.0
0.17289,0.01522,0.6974,0.5,5.01738,0.10976,0.55295,0.0,0.0,0.5,0.0,1.0,0.0
0.18378,0.01503,0.69922,0.5,5.01738,0.11305,0.5383,0.0,0.0,0.5,0.0,0.98491,0.0
0.1389,0.01684,0.7,0.5,5.0,0.11285,0.6,0.0,0.0,0.5,0.0,1.0,0.0
0.12715,0.01522,0.67212,0.5,5.45569,0.10711,0.57892,0.0,0.0,0.5,0.0,1.0,0.0
0.1273,0.01522,0.7,0.47593,5.10851,0.10033,0.51277,0.0,0.0,0.5,0.0,1.0,0.0
0.13847,0.015,0.7,0.49494,5.17214,0.1,0.44594,0.0,0.0,0.5,0.0,1.0,0.0
0.13944,0.015,0.65252,0.5,5.07217,0.1,0.55226,0.0,0.0,0.5,0.0,1.0,0.0
0.15861,0.015,0.7,0.41993,6.23378,0.12016,0.6,0.0,0.0,0.5,0.0,0.94087,0.0
0.16526,0.015,0.6714,0.5,5.11667,0.11143,0.54432,0.0,0.0,0.5,0.0,0.93159,0.0
0.16189,0.015,0.62523,0.44949,5.34258,0.1,0.5277,0.0,0.0,0.5,0.0,1.0,0.0
0.15841,0.015,0.61599,0.38966,5.0,0.10599,0.52036,0.0,0.0,0.5,0.0,0.84561,0.0
0.12278,0.0154,0.66073,0.5,5.45097,0.14425,0.55226,0.0,0.0,0.5,0.0,0.8,0.0
0.13665,0.015,0.7,0.5,5.0,0.10902,0.54635,0.0,0.0,0.5,0.0,1.0,0.0
0.10849,0.01755,0.7,0.5,5.01738,0.11192,0.55226,0.0,0.0,0.5,0.0,0.84082,0.0
0.17126,0.015,0.7,0.5,5.0,0.11748,0.5055,0.0,0.0,0.5,0.0,1.0,0.0
0.17284,0.01541,0.7,0.5,5.01738,0.10813,0.55221,0.0,0.0,0.5,0.0,0.99065,0.0
0.15791,0.01888,0.5124,0.49488,5.05197,0.11531,0.55226,0.0,0.0,0.5,0.0,1.0,0.0
0.13421,0.015,0.7,0.44564,5.26183,0.12269,0.5214,0.0,0.0,0.5,0.0,1.0,0.0
0.1581,0.01541,0.59214,0.46587,5.2058,0.1,0.46883,0.0,0.0,0.5,0.0,0.96959,0.0
0.17028,0.01807,0.54883,0.5,5.0,0.11722,0.53951,0.0,0.0,0.5,0.0,0.92898,0.0
0.17783,0.01503,0.7,0.5,5.01738,0.11361,0.55226,0.0,0.0,0.5,0.0,0.9261,0.0
0.18497,0.01522,0.7,0.5,5.0,0.10902,0.55226,0.0,0.0,0.5,0.0,1.0,0.0
